bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,3,4,6,1.0
Afogados,10,11,18,0.327273
Alto José Bonifácio,6,7,12,0.571429
Alto José do Pinho,6,7,12,0.571429
Alto Santa Teresinha,5,6,10,0.666667
Alto do Mandu,5,6,10,0.666667
Apipucos,6,7,11,0.52381
Areias,7,8,14,0.5
Arruda,9,10,18,0.4
Barro,4,5,6,0.6
Beberibe,4,5,7,0.7
Boa Viagem,4,5,7,0.7
Boa Vista,9,10,18,0.4
Bomba do Hemetério,5,6,10,0.666667
Bongi,4,5,8,0.8
Brasília Teimosa,1,2,1,1.0
Brejo da Guabiraba,5,6,10,0.666667
Brejo de Beberibe,7,8,14,0.5
Cabanga,3,4,5,0.833333
Cajueiro,3,4,5,0.833333
Campina do Barreto,5,6,9,0.6
Campo Grande,7,8,14,0.5
Casa Amarela,11,12,22,0.333333
Casa Forte,4,5,8,0.8
Caxangá,4,5,6,0.6
Caçote,3,4,6,1.0
Cidade Universitária,4,5,8,0.8
Coelhos,3,4,5,0.833333
Cohab,2,3,2,0.666667
Coqueiral,3,4,5,0.833333
Cordeiro,7,8,13,0.464286
Curado,9,10,17,0.377778
Córrego do Jenipapo,6,7,12,0.571429
Derby,5,6,9,0.6
Dois Irmãos,5,6,8,0.533333
Dois Unidos,4,5,7,0.7
Encruzilhada,8,9,18,0.5
Engenho do Meio,5,6,10,0.666667
Espinheiro,6,7,13,0.619048
Estância,4,5,9,0.9
Fundão,4,5,8,0.8
Graças,10,11,20,0.363636
Guabiraba,5,6,8,0.533333
Hipódromo,3,4,6,1.0
Ibura,7,8,13,0.464286
Ilha Joana Bezerra,3,4,5,0.833333
Ilha do Leite,3,4,5,0.833333
Ilha do Retiro,5,6,9,0.6
Imbiribeira,5,6,8,0.533333
Ipsep,4,5,8,0.8
Iputinga,5,6,9,0.6
Jaqueira,4,5,7,0.7
Jardim São Paulo,7,8,16,0.571429
Jiquiá,6,7,13,0.619048
Jordão,2,3,3,1.0
Linha do Tiro,6,7,12,0.571429
Macaxeira,4,5,8,0.8
Madalena,6,7,12,0.571429
Mangabeira,5,6,10,0.666667
Mangueira,4,5,8,0.8
Monteiro,4,5,7,0.7
Morro da Conceição,4,5,8,0.8
Mustardinha,4,5,8,0.8
Nova Descoberta,7,8,14,0.5
Paissandu,3,4,5,0.833333
Parnamirim,5,6,10,0.666667
Passarinho,4,5,7,0.7
Pau-ferro,1,2,1,1.0
Peixinhos,3,4,5,0.833333
Pina,5,6,7,0.466667
Ponto de Parada,5,6,11,0.733333
Porto da Madeira,4,5,7,0.7
Poço,4,5,7,0.7
Prado,7,8,14,0.5
Recife,3,4,5,0.833333
Rosarinho,5,6,10,0.666667
San Martin,10,11,21,0.381818
Sancho,4,5,8,0.8
Santana,5,6,8,0.533333
Santo Amaro,7,8,13,0.464286
Santo Antônio,5,6,9,0.6
Soledade,2,3,3,1.0
São José,6,7,10,0.47619
Sítio dos Pintos,1,2,1,1.0
Tamarineira,7,8,14,0.5
Tejipió,5,6,9,0.6
Torre,5,6,8,0.533333
Torreão,4,5,8,0.8
Torrões,4,5,8,0.8
Totó,3,4,5,0.833333
Vasco da Gama,5,6,10,0.666667
Várzea,4,5,7,0.7
Zumbi,4,5,8,0.8
Água Fria,8,9,16,0.444444
